il,ad,kategori,etiketler,puan,yorum_sayisi,adres,telefon,fiyat,enlem,boylam,maps_url,foto_url,not
Adıyaman,Adıyaman Sofrası (MUZAFFER ŞEF),Restoran,Sulu Yemek,4.6,194,"Ulucami, Gölbaşı Cd. 58/A Q75F+X6M, 02100 Adıyaman Merkez/Adıyaman",+90 501 030 99 02,2,37.7600294,38.272985999999996,https://maps.google.com/?cid=11473012091067021099,,
Adıyaman,Laz'ın Yeri,Restoran,Lokanta,4.3,182,"Altınşehir, 3029. Sk. no:5/C, 02100 Adıyaman Merkez/Adıyaman",+90 416 223 18 19,2,37.7390331,38.2301066,https://maps.google.com/?cid=6358757055570142961,,
Adıyaman,Adıyaman Kebap Salonu,Kebap Restoranı,Kebap,4.4,135,"Musalla, Atatürk Cd. No:72, 02100 Adıyaman Merkez/Adıyaman",+90 416 214 09 71,2,37.7580807,38.2774506,https://maps.google.com/?cid=13678711181226603962,,
Adıyaman,Lezzet Kebap,Kebap Restoranı,Kebap,4.3,103,"Turgut Reis, Zey Cd. No:15, 02200 Adıyaman Merkez/Adıyaman",+90 416 213 97 59,,37.7581954,38.2591604,https://maps.google.com/?cid=16960312456624394077,,
Adıyaman,HATUN SOFRASI,Restoran,Sulu Yemek,4.9,55,"Altınşehir, Gökkuşağı Cd. 19/A, 02000 Adıyaman Merkez/Adıyaman",+90 546 216 36 99,2,37.737004999999996,38.225878,https://maps.google.com/?cid=13168513905009531981,,
Adıyaman,Birtat lokantası,Restoran,Sulu Yemek,4.3,86,"Yenipınar, 308. Sk. no:2e, 02100 Adıyaman Merkez/Adıyaman",+90 532 573 02 02,1,37.7608757,38.2774706,https://maps.google.com/?cid=17716648629209449654,,
Adıyaman,Başak Lokantası,Restoran,Sulu Yemek,4.4,72,"Yenipınar, Harıkçı Cd No:23, 02100 Adıyaman Merkez/Adıyaman",+90 416 216 62 77,1,37.760369600000004,38.2789348,https://maps.google.com/?cid=2765655803730272878,,
Afyonkarahisar,Salim Usta Uzun Çarşı,Restoran,Lokanta,4.5,9419,"Millet Caddesi, Uzun Çarşı Gç. No:27 A, 03200 Afyonkarahisar Merkez/Afyonkarahisar",+90 272 213 20 14,2,38.7560068,30.5382646,https://maps.google.com/?cid=4908113991069660017,,
Afyonkarahisar,Aşçı Bacaksız,Kebap Restoranı,Kebap,4.5,4480,"Karaman Mah, Yeni Saraçlar Çarşısı Sk No:59/A, 03100 Afyonkarahisar Merkez/Afyonkarahisar",+90 272 215 20 97,2,38.754948999999996,30.537613300000004,https://maps.google.com/?cid=16158134710541486810,,
Afyonkarahisar,Musakka Restaurant,Restoran,Lokanta,4.5,2919,"Burmalı, Basın Cd. No:10, 03030 Afyonkarahisar Merkez/Afyonkarahisar",,2,38.7565714,30.538231800000002,https://maps.google.com/?cid=18378963618328399884,,
Afyonkarahisar,Numan Usta Döner ve Kebap,Aile restoranı,Kebap|Döner,4.3,4045,"Burmalı, 22. Sk. No:10, 03100 Afyonkarahisar Merkez/Afyonkarahisar",+90 272 214 40 30,2,38.7562225,30.5387874,https://maps.google.com/?cid=2515107927082392053,,
Afyonkarahisar,Hakan Çıray Lokantası,Restoran,Sulu Yemek,4.7,1990,"Uzun Çarşı, Tarihi Turunç Hanı, Burmalı, Millet Cd Kat:1 No:50, 03030 Afyonkarahisar Merkez/Afyonkarahisar",+90 507 405 25 03,2,38.7556657,30.5362164,https://maps.google.com/?cid=5193062921575902256,,
Afyonkarahisar,Afyonkarahisar Gastronomi Konağı,Türk restoranı,Türk restoranı,4.3,2206,"Çavuşbaş, Ulu Güllük Cd. No:71, 03200 Afyonkarahisar Merkez/Afyonkarahisar",+90 272 214 42 55,2,38.758796,30.532946100000004,https://maps.google.com/?cid=5236980003628023193,,
Afyonkarahisar,Salim Usta Çevre Yolu Şubesi,Restoran,Lokanta,4.4,552,"Afyon TR, Hürriyet, Atatürk Blv. 6/1, 03211 Erkmen/Afyonkarahisar Merkez/Afyonkarahisar",+90 545 459 03 03,2,38.7805878,30.488429300000004,https://maps.google.com/?cid=1726200450784838948,,
Afyonkarahisar,Hakan Çıray Lokantası 2. Şube,Restoran,Sulu Yemek,4.7,288,"Burmalı, Basın Cd. Sağlık Sitesi No:20/A, 03100 Afyonkarahisar Merkez/Afyonkarahisar",+90 553 654 66 03,2,38.7564473,30.53803,https://maps.google.com/?cid=17496986357488353690,,
Afyonkarahisar,Beşler Restoran,Restoran,Lokanta,4.3,398,"Cumhuriyet, İsmet İnönü Cd. No:61, 03140 Afyonkarahisar Merkez/Afyonkarahisar",+90 272 215 20 26,2,38.7552119,30.553656699999998,https://maps.google.com/?cid=13838909090539158380,,
Afyonkarahisar,Narin Lokantası,Restoran,Sulu Yemek,4.6,252,"Umurbey, Dervişpaşa Cd. 3a, 03100 Afyonkarahisar Merkez/Afyonkarahisar",+90 541 240 23 30,2,38.7563278,30.53883,https://maps.google.com/?cid=4893903632621348205,,
Ağrı,Sultan Sofrası,Restoran,Sulu Yemek,4.3,730,"Yavuz, Kağızman Cd. No:7, 04100 Ağrı Merkez/Ağrı",+90 472 216 49 05,2,39.7201273,43.0505101,https://maps.google.com/?cid=5301968974271426730,,
Ağrı,Meşhur Ağrı Dönercisi,Restoran,Döner,4.3,238,"Yavuz, Nevzat Güngör Cd., 04100 Ağrı Merkez/Ağrı",,2,39.720595599999996,43.051773000000004,https://maps.google.com/?cid=9064859381312791487,,
Amasya,Küçükağa Restaurant,Restoran,Lokanta,4.6,7128,"Şamlar, Zübeyde Hanım Cd. No:25, 05200 Amasya Merkez/Amasya",+90 358 212 91 90,2,40.6591409,35.833424099999995,https://maps.google.com/?cid=624776674561771350,,
Amasya,Başkent Aspava Restorant,Restoran,Lokanta,4.3,3973,"Hızırpaşa, Necip Fazıl Cd. No:7/C, 05100 Amasya Merkez/Amasya",+90 358 213 06 08,2,40.6507307,35.8117787,https://maps.google.com/?cid=6848477434035209195,,
Amasya,Kalepark Cafe&Restaurant,Restoran,Lokanta,4.5,2514,"Amasya kalesi, İhsaniye, Kolbaşı Sk. No:39/A, 05000 Amasya Merkez/Amasya",+90 358 212 73 73,2,40.657777599999996,35.8274921,https://maps.google.com/?cid=17357179491614246722,,
Amasya,Meat Works Amasya,Restoran,Lokanta,4.8,1503,"MEAT WORKS, Hızırpaşa, Kazım Karabekir paşa caddesi no:17/1-A, 05100 Amasya Merkez/Amasya",+90 543 122 05 05,2,40.652229299999995,35.816667599999995,https://maps.google.com/?cid=4136263105904184305,,
Amasya,Amasya Anadolu Mantı Evi,Mantıcı,Mantı,4.4,2329,"Hatuniye, Hazeranlar Sk. No:57/A, 05100 Amasya Merkez/Amasya",+90 358 212 30 30,2,40.6517343,35.827498399999996,https://maps.google.com/?cid=3275924063404576356,,
Amasya,Çorba Konağı_Amasya,Restoran,Çorba,4.9,993,"Hatuniye mahallesi şifre sokak 4 İçeri şehir madenus köprü başı, Hatuniye, 05300 Amasya Merkez/Amasya",+90 531 285 44 05,2,40.6517543,35.8261506,https://maps.google.com/?cid=14339264849075544519,,
Amasya,By Etçii,Restoran,Lokanta,4.9,906,"Akbilek, elvan çelebi cad 16/a, 05100 Amasya Merkez/Amasya",+90 501 555 89 05,2,40.6455454,35.8018238,https://maps.google.com/?cid=9256166010348586613,,
Amasya,Gaziantepli Yılmaz Usta,Restoran,Lokanta,4.5,1639,"Dere, Mustafa Kemal Paşa Cd. Özel İdare İş Hanı No:21, 05100 Amasya Merkez/Amasya",+90 358 213 06 27,2,40.650789,35.831575099999995,https://maps.google.com/?cid=5742322534903555206,,
Amasya,Şahin Pide&Tabildot,Restoran,Lahmacun & Pide,4.8,293,"ŞAHİN PİDE SALONU, Pirinççi, Mehmet Paşa Cd. NO.15/A, 05200 Amasya Merkez/Amasya",+90 543 810 20 46,2,40.6563297,35.835240299999995,https://maps.google.com/?cid=16753126769005921167,,
Amasya,Pidecim Kasap & Şarkuteri - Kahvaltı & Çorba,Restoran,Çorba|Lahmacun & Pide|Kahvaltı,4.7,289,"Dere, Özkan Yalçın Cd. No:12, 05100 Amasya Merkez/Amasya",+90 501 188 05 05,2,40.65058990000001,35.8316102,https://maps.google.com/?cid=16669510752723369756,,
Ankara,Site 2 Lokantası Abdurrahman Küçük Ovacık,Restoran,Sulu Yemek,4.6,9105,"Ovacık, Yozgat Blv. No:64B-11, 06280 Keçiören/Ankara",+90 540 428 01 53,2,40.0081372,32.8255488,https://maps.google.com/?cid=1143146851224962066,,
Ankara,Site 2 Lokantası Siteler,Restoran,Sulu Yemek,4.7,4896,"Önder, Karacakaya Cd. No:161 D:C, 06165 Altındağ/Ankara",+90 312 350 23 70,2,39.955129299999996,32.9093081,https://maps.google.com/?cid=15688079987394615629,,
Ankara,Çukurağa Sofrası,Restoran,Sulu Yemek,4.4,4677,"Emek, Bosna Hersek Cd. No: 22 D:C, 06490 Çankaya/Ankara",+90 312 223 09 63,2,39.916782999999995,32.818723999999996,https://maps.google.com/?cid=17826352799761103624,,
Ankara,Göksu Lokantaları - Kızılay,Restoran,Sulu Yemek,4.7,2257,"Kızılay, Bayındır-1 Sk. No: 22, 06410 Çankaya/Ankara",+90 312 431 47 27,,39.9219444,32.856944399999996,https://maps.google.com/?cid=12729714169886624967,,
Ankara,Sütlü Kavurma Ankara,Restoran,Lokanta,4.4,2214,"Taşkent Caddesi, Yukarı Bahçelievler, eski 1.cadde 129/B, 06320 Çankaya/Ankara",+90 536 966 63 47,2,39.920674,32.8320842,https://maps.google.com/?cid=16307358453838457340,,
Ankara,Çiçek Lokantası,Türk restoranı,Sulu Yemek,4.3,2489,"Söğütözü, 2176. Sk. 5/45, 06510 Çankaya/Ankara",+90 312 284 08 88,2,39.9100317,32.7987245,https://maps.google.com/?cid=17566167610737344862,,
Ankara,Tarihi Mutfak Lokantası,Restoran,Sulu Yemek,4.3,2447,"Kocatepe, Mithatpaşa Cd. No:64 D:B, 06420 Çankaya/Ankara",+90 312 418 75 00,2,39.9188136,32.8595196,https://maps.google.com/?cid=11057320496893039177,,
Ankara,Bolu Akın Lokantası,Restoran,Sulu Yemek,4.3,2268,"No:, Macun, 187. Cd. No:8, 06374 Yenimahalle/Ankara",+90 312 397 73 06,2,39.946760499999996,32.7644819,https://maps.google.com/?cid=9013056192654062133,,
Ankara,Erdem 1071 Et Lokantası,Restoran,Et|Sulu Yemek,4.5,1451,"Kızılırmak Mah. 1444. Cad, Çukurambar, 1071 Usta Plaza No:25 D:1, 06510 Çankaya/Ankara",+90 501 366 49 48,2,39.9080806,32.8130685,https://maps.google.com/?cid=8882315320552042947,,
Ankara,Çankaya Lokantası,Türk restoranı,Sulu Yemek,4.3,1691,"Güzeltepe, Hoşdere Cd. No:228-0312 438 D:24 96, 06690 Çankaya/Ankara",+90 312 438 24 96,2,39.8848645,32.8547363,https://maps.google.com/?cid=15237263098547632077,,
Antalya,Balkan Lokantası,Restoran,Sulu Yemek,4.6,3268,"nallı yücesan apartmanı, Kültür, 3805. Sk., 07010 Kepez/Antalya",+90 242 226 12 26,2,36.9023945,30.654010999999997,https://maps.google.com/?cid=16480336879651722420,,
Antalya,Can Can Pide Yemek Salonu,Orta Doğu Restoranı,Lahmacun & Pide,4.5,1982,"Akkaşoğlu Apt, H. İşcan Mah, Arık Cd. 4/A, 07100 Muratpaşa/Antalya",+90 242 243 25 48,2,36.8852239,30.710755499999994,https://maps.google.com/?cid=9775706368314939000,,
Antalya,Balkan Lokantası,Restoran,Sulu Yemek,4.6,1351,"Meltem, Tarık Akıltopu Cd. No:5 D:4, 07030 Muratpaşa/Antalya",+90 533 252 63 86,2,36.889709499999995,30.676282200000003,https://maps.google.com/?cid=9052296747368185685,,
Antalya,Aybüke Hatun Orta Asya Yemekleri Restaurant & Cafe,Restoran,Lokanta,4.8,876,"Üç kapılar karşısında, Sinan, Atatürk Cd. Birlik İşhanı No25 Zemin kat, 07100 Muratpaşa/Antalya",+90 530 702 67 87,2,36.886246299999996,30.709055199999998,https://maps.google.com/?cid=11696744761211405039,,
Antalya,Baba Mutfağı Ev Yemekleri,Restoran,Sulu Yemek,4.9,738,"Haşimişcan, Sinan, 1251. Sk. No:24, 07100 Muratpaşa/Antalya",+90 541 133 40 41,2,36.8875694,30.709131199999998,https://maps.google.com/?cid=4468820274554754235,,
Antalya,Üstat lokantası,Restoran,Sulu Yemek,4.5,930,"Haşimişcan, Recep Peker Cd. mandıroğlu iş merkezi no 12, 07010 Muratpaşa/Antalya",+90 553 335 34 07,2,36.8854347,30.7106025,https://maps.google.com/?cid=2354043919322147822,,
Antalya,Özkan Kebap,Restoran,Kebap,4.4,1013,"Sinan, 1253. Sk. 8/A, 07100 Muratpaşa/Antalya",+90 242 244 84 01,1,36.886739,30.708944199999998,https://maps.google.com/?cid=421529084821713183,,
Antalya,Şen Baba Kebap Salonu Antalya,Kebap Restoranı,Kebap,4.4,733,"Kızılsaray, Milli Egemenlik Cd. No:13, 07040 Muratpaşa/Antalya",+90 242 244 33 91,2,36.889908999999996,30.698356999999998,https://maps.google.com/?cid=2161635438811427629,,
Artvin,Ustabaş Lokantası,Restoran,Sulu Yemek,4.6,2324,"Merkez Kuledibi, Dumlupınar Cd. no:52F, 08600 Hopa/Artvin",+90 466 351 49 57,2,41.393623399999996,41.4190694,https://maps.google.com/?cid=6229538409065788435,,
Artvin,Bombaci Burhan,Restoran,Lokanta,4.3,957,"Çayağzı, Fevzi Çakmak Cd. No:68, 08000 Artvin Merkez/Artvin",+90 466 212 62 05,2,41.1809959,41.835273699999995,https://maps.google.com/?cid=2464000168544011720,,
Artvin,Pınarlı Otantik Kır Lokantası,Restoran,Sulu Yemek,4.9,185,"Meydanlar, Meydanlar mahallesi 34/1, 08790 Pınarlı/Şavşat/Artvin",+90 535 221 50 65,2,41.354753599999995,42.489346499999996,https://maps.google.com/?cid=16078857790110881962,,
Artvin,Fidan Sultan El Lezzetleri,Aile restoranı,Aile restoranı,4.8,159,"Çarşı, Sabit Osman Avcı Hürriyet Cd. No:17/A, 08000 Artvin Merkez/Artvin",+90 466 212 90 75,2,41.1807914,41.818759199999995,https://maps.google.com/?cid=15466773629056759199,,
Artvin,AGORA EV YEMEKLERİ VE KAVURMA,Restoran,Sulu Yemek,4.8,159,"Merkez Kuledibi, Kars Cd. No:41, 08600, 08600 Hopa/Artvin",+90 537 453 40 75,2,41.3929104,41.4192007,https://maps.google.com/?cid=14137539293854081872,,
Artvin,Artvin Cağ Kebap Evi,Restoran,Kebap,4.6,193,"Çarşı, İnönü Cd. No:11, 08000 Artvin Merkez/Artvin",,2,41.1813905,41.8217509,https://maps.google.com/?cid=15063574550179035409,,
Artvin,Emin Usta,Restoran,Lokanta,4.3,211,"Çarşı, Öğretmen Taliha Genç Sk., 08000 Artvin Merkez/Artvin",,2,41.1795816,41.81832,https://maps.google.com/?cid=16938422061256273841,,
Artvin,Dereboyu Alabalık Restoran,Restoran,Balık,4.4,138,"Dere, Yurttaş Saraç Cd. No:100, 08000 Artvin Merkez/Artvin",,2,41.172533,41.823049999999995,https://maps.google.com/?cid=16136127160539195792,,
Artvin,Çoruh pide,Orta Doğu Restoranı,Lahmacun & Pide,4.3,122,"Çarşı, İnönü Cd. No:77, 08000 Artvin Merkez/Artvin",,2,41.181290499999996,41.8213131,https://maps.google.com/?cid=4843864116203125061,,
Artvin,Sönmez Ocak Cağ-Kebap - Artvin,Türk restoranı,Kebap,4.3,83,"Çarşı, İnönü Cd., 08000 Artvin Merkez/Artvin",+90 466 212 33 71,2,41.1808619,41.8208761,https://maps.google.com/?cid=7354102469793938506,,
Aydın,Güldeste Lokantası Aydın Merkez Tarihi Filibeli,Restoran,Sulu Yemek,4.6,1414,"Cumhuriyet, 1951. Sk. No:11, 09020 Efeler/Aydın",+90 256 502 81 81,2,37.847060000000006,27.8425077,https://maps.google.com/?cid=7814097148419348629,,
Aydın,Hayri Usta Lokantası,Türk restoranı,Sulu Yemek,4.4,1503,"Ata, Tepecik Blv. 40 b, 09010 Efeler/Aydın",+90 256 211 19 19,2,37.8354792,27.8574752,https://maps.google.com/?cid=10869898987459731043,,
Aydın,Meşhur Akkaya Aspava Aydın,Restoran,Lokanta,4.7,660,"Adnan Menderes, Yeşilırmak Cd. 26/2, 09010 Efeler/Aydın",+90 256 503 06 71,2,37.825743599999996,27.84217,https://maps.google.com/?cid=5700818151413610079,,
Aydın,KEBAPİX,Restoran,Kebap,4.8,524,"Girne, 2077. Sk. NO:68/B, 09100 Efeler/Aydın",+90 256 215 66 06,2,37.8470489,27.8266576,https://maps.google.com/?cid=5828803591743801745,,
Aydın,Dede Lokantası,Restoran,Sulu Yemek,4.3,816,"Hasanefendi - Ramazan Paşa, 1911. Sk. No:4, 09100 Aydın Merkez/Aydın",+90 256 225 10 28,2,37.8489856,27.843405999999998,https://maps.google.com/?cid=12032702541171734825,,
Aydın,Yenipazarlı Kazım Usta 1,Restoran,Lokanta,4.3,726,"Güzelhisar, 39. Sk. No:11/A, 09100 Efeler/Aydın",+90 256 212 97 91,2,37.8453233,27.845285300000004,https://maps.google.com/?cid=1975221749082208709,,
Aydın,Yenipazarlı Kazım Usta 3,Orta Doğu Restoranı,Orta Doğu Restoranı,4.4,577,"Zeybek, Zeybek 5. Cd. No.: 3, 09010 Efeler/Aydın",+90 256 212 01 11,2,37.8391981,27.812295300000002,https://maps.google.com/?cid=498379953513228518,,
Aydın,Popide,Orta Doğu Restoranı,Lahmacun & Pide,4.8,327,"Adnan Menderes, Enverpaşa Blv. no:8/A, 09100 Efeler/Aydın",+90 256 215 09 16,2,37.833850399999996,27.852086999999997,https://maps.google.com/?cid=7039465504255667443,,
Aydın,Meydan lokantası burhan usta,Restoran,Sulu Yemek,4.8,302,"Osman yozgatlı mah, Batı, Çevre Blv. no:55/A, 09500 Efeler/Aydın",+90 530 066 09 49,2,37.8318491,27.8356542,https://maps.google.com/?cid=8744439126881003722,,
Aydın,Söke Yıldız Lokantası Mehmet Ustanın Yeri,Restoran,Sulu Yemek,4.6,318,"Konak, Saraçlar Caddesi, Manavlariçi, Konak, No:21, 09200 Söke/Aydın",+90 536 775 50 47,2,37.7523141,27.4043665,https://maps.google.com/?cid=1176266429630651141,,
Balıkesir,Regal İmren Çorba & Yemek & Et ve Izgara Salonu,Restoran,Çorba,4.6,2133,"Paşa Alanı, 8. Sk., 10020 Balıkesir Merkez/Balıkesir",+90 532 437 21 39,2,39.6643885,27.919610499999997,https://maps.google.com/?cid=6506823757125588724,,
Balıkesir,Ferah Lokantası,Restoran,Sulu Yemek,4.5,1615,"Paşa Alanı, Cumhuriyet Cd., 10020 Balıkesir Merkez/Balıkesir",,2,39.6716194,27.928478199999997,https://maps.google.com/?cid=15090919439505133695,,
Balıkesir,KEBAPSAĞ,Restoran,Kebap,4.3,667,"Toygar, Üçpınaryolu Cd 273. Sokak, 10020 Karesi/Balıkesir",+90 552 435 10 10,2,39.6724994,27.9015229,https://maps.google.com/?cid=13966057485544815542,,
Balıkesir,Muhit Lokantası kurucu zekeriya,Restoran,Sulu Yemek,4.5,230,"Kasaplar, Topak Sk. 6 A, 10100 Balıkesir Merkez/Balıkesir",+90 266 243 09 99,1,39.642164,27.881770999999997,https://maps.google.com/?cid=17778680138682950284,,
Balıkesir,Onur Lokantası Galip Usta,Restoran,Sulu Yemek,4.5,226,"Eski Kuyumcular, Salih Tozan Cd. No:5/1C, 10100 Karesi/Balıkesir",+90 537 515 21 17,2,39.6473577,27.8843574,https://maps.google.com/?cid=14262841596725687866,,
Balıkesir,Kebapgah,Kebap Restoranı,Kebap,4.4,206,"Plevne, Savaştepe Cd. 46-48 A, 10050 Altıeylül/Balıkesir",+90 266 244 15 55,2,39.6207247,27.894894599999997,https://maps.google.com/?cid=6988886369689246935,,
Bilecik,Cennet Vadisi,Restoran,Lokanta,4.3,3330,"Merkez, 11230 Başköy/Bilecik Merkez/Bilecik",+90 545 228 19 64,2,40.0715675,30.016225799999994,https://maps.google.com/?cid=8672441158297213442,,
Bilecik,Cıngılli Restoran,Restoran,Lokanta,4.5,1957,"pazaryeri demirköy 235/1, 11800 Demirköy/Pazaryeri/Bilecik",+90 228 385 33 11,2,40.0025967,30.008190499999998,https://maps.google.com/?cid=402398787193502444,,
Bilecik,Emek Lokantasi,Restoran,Sulu Yemek,4.6,1244,"Çarşı, Ürgen Paşa Cd., 11300 Bozüyük/Bilecik",+90 228 315 15 42,2,39.9060798,30.033493900000003,https://maps.google.com/?cid=18204724771146205777,,
Bilecik,Trabzonlu Yüksel Ustanın Yeri,Restoran,Lokanta,4.3,1268,"(Marmara Kağıt Fab. Karşısı), İstasyon, 11100 Vezirhan/Bilecik Merkez/Bilecik",+90 228 233 17 78,2,40.2581078,30.020847500000002,https://maps.google.com/?cid=13880645080373391405,,
Bilecik,Dostlar Cağ Kebap,Kebap Restoranı,Kebap,4.5,614,"Gazipaşa, Kurtul Sk. No:9, 11000 Bilecik Merkez/Bilecik",+90 228 212 99 83,2,40.1428082,29.9788888,https://maps.google.com/?cid=565903247491669642,,
Bilecik,Bolcağ Kebap Pide Lahmacun Salonu,Restoran,Kebap|Lahmacun & Pide,4.4,420,"Ertuğrulgazi, Kaynak Cd. No:12, 11130 Bilecik Merkez/Bilecik",+90 228 212 11 77,2,40.136183,29.974559,https://maps.google.com/?cid=3942022971541294882,,
Bilecik,Ankara Lokantası,Restoran,Sulu Yemek,4.6,317,"İstasyon, 11050 Bilecik Merkez/Bilecik",+90 505 682 88 22,2,40.115597699999995,29.9994974,https://maps.google.com/?cid=17513936544520943903,,
Bilecik,Saray Lokantası,Restoran,Sulu Yemek,4.6,295,"İstasyon, Osmangazi Cd. No:33, 11100 Bilecik Merkez/Bilecik",+90 228 215 97 98,2,40.115375,29.99945,https://maps.google.com/?cid=2912880895730996388,,
Bilecik,Kısmet Lokantası,Restoran,Et|Sulu Yemek,4.4,370,"İstiklal Mh. Akmescit Cad, İstiklal, Yeni Sk. No:1, 11200 Bilecik Merkez/Bilecik",+90 228 212 17 14,2,40.141825,29.981927,https://maps.google.com/?cid=7104720107096589086,,
Bilecik,LEVENT USTA ADANA KEBAP,Kebap Restoranı,Kebap,4.8,167,"İsmetpaşa, Atatürk Caddesi No:51/d, 11000 Bilecik Merkez/Bilecik",+90 228 212 60 32,2,40.1462958,29.977242900000004,https://maps.google.com/?cid=6271060509478309382,,
Bingöl,Lava Közde Et Döner,Restoran,Döner,4.8,344,"İnönü, Kültür Cd. 93/C, 12000 merkez/Bingöl",+90 426 216 03 03,1,38.8862247,40.4969535,https://maps.google.com/?cid=14484741008769155658,,
Bingöl,Fehmi Usta Adana Sofrası,Restoran,Sulu Yemek,4.4,401,"Yenişehir, hacılar cami arkası, 12000 Bingöl",+90 426 214 11 10,2,38.8826284,40.496864099999996,https://maps.google.com/?cid=5251770030087245222,,
Bingöl,ZEYREK İSKENDER,Restoran,Lokanta,4.5,78,"Cumhuriyet, Kültür, Cumhuriyet Cd. No:146/C, 12500 Genç/Bingöl",+90 426 411 40 50,,38.7487008,40.5544693,https://maps.google.com/?cid=10941930653353434797,,
Bingöl,Kavurmacı Aydın Usta,Türk restoranı,Türk restoranı,4.4,52,"Yenişehir, İnönü Cd., 12000 Bingöl",,,38.8834132,40.4939718,https://maps.google.com/?cid=9478555355491466312,,
Bitlis,Büryancı Vahit Usta Yeni Çarşı Şubesi,Restoran,Büryan,4.4,574,"Hüsrev paşa mah.1238.sok Bitlis Ticaret Merkezi C blok no 77/78 Bitlis merkez, Hüsrev Paşa, 13000 Bitlis Merkez/Bitlis",+90 543 278 88 85,2,38.424968799999995,42.1272145,https://maps.google.com/?cid=10988509999252201398,,
Bitlis,BİTLİS SOFRASI,Restoran,Sulu Yemek,4.8,290,"Beş Minare, Ahmet Eren Blv No: 353 /B, 13002 Bitlis Merkez/Bitlis",+90 507 129 13 13,2,38.4801401,42.167795999999996,https://maps.google.com/?cid=14677679186440488437,,
Bitlis,Oktay Usta'nın Yeri,Türk restoranı,Türk restoranı,4.4,213,"Zülfikarlar İş Hanı, Gazi Bey, 13000 Bitlis Merkez/Bitlis",,1,38.4001679,42.107826,https://maps.google.com/?cid=13831014885700559873,,
Bitlis,Altın Kalbur Restorant,Restoran,Lokanta,4.6,132,"Zeydan, Bitlis Mutki Yolu Üzeri, 13000 Bitlis Merkez/Bitlis",+90 434 226 65 44,2,38.402679,42.1073644,https://maps.google.com/?cid=2503765317894684225,,
Bitlis,Mavi Beyaz Bahçe Cafe & Restaurant,Restoran,Lokanta,4.5,94,"Aydınlar Mahallesi Cumhuriyet Bulvarı, Aydınlar, Millet Bahçesi İçi, 13200 Tatvan/Bitlis",+90 434 827 00 13,2,38.507132999999996,42.2778759,https://maps.google.com/?cid=6685150865939280841,,
Bitlis,Nirvana Yöresel Ev Yemekleri,Restoran,Sulu Yemek,4.3,99,"Sahil, Hal Cd. No:7/a, 13200 Tatvan/Bitlis",+90 553 465 92 30,2,38.4942372,42.287828,https://maps.google.com/?cid=993328294896661622,,
